대영역,세부영역,세부지표,방향성,비교시작연도,비교기준연도,지역,시작값,기준값,변화량,방향성기준결과,기준연도순위,실측연도수,결측연도수,비교기간실측연도수,비교기간결측연도수,급등락후보연도,단위,출처,관측기간,자료기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,인천,26.9,22.3,-4.599999999999998,악화,15,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,광주,28.2,32.1,3.900000000000002,개선,2,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,대전,24.7,36.6,11.900000000000002,개선,1,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,울산,21.0,30.7,9.7,개선,3,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,세종,27.5,27.3,-0.1999999999999993,악화,8,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,경기,30.9,25.6,-5.299999999999997,악화,9,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,강원,27.1,28.4,1.2999999999999972,개선,7,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,충북,23.5,23.7,0.1999999999999993,개선,13,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,충남,24.8,25.4,0.5999999999999979,개선,10,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,전북,23.1,29.7,6.599999999999998,개선,6,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,전남,21.2,24.2,3.0,개선,12,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,경북,25.8,30.4,4.599999999999998,개선,5,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,경남,25.0,19.2,-5.800000000000001,악화,17,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,제주,27.3,30.6,3.3000000000000007,개선,4,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
사회·문화,사회적 가치관,가사분담에 대한 성평등 인식,높을수록 양호,2016,2024,서울,0.7945,0.8843843843843844,0.0898843843843844,개선,2,5,4,5,4,-,점(0–1 변환점수),"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",2016–2024,검증 원자료 기준
