지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
세종,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),5690.0,5690.0,0.0,0.0,양쪽존재,일치,허용
세종,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),21321.0,21321.0,0.0,0.0,양쪽존재,일치,허용
세종,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),7331.0,7331.0,0.0,0.0,양쪽존재,일치,허용
세종,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),39863.0,39863.0,0.0,0.0,양쪽존재,일치,허용
세종,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),946.0,946.0,0.0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),565558.0,565558.0,0.0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",523228.0,523228.0,0.0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),7983.0,7983.0,0.0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,"4.인구구조 변화에
대한 적응(공통)",3502.0,3502.0,0.0,0.0,양쪽존재,일치,허용
울산,"Ⅱ. 지자체
자체사업","1. 함께 일하고 함께 돌보는
사회(자체)",47251.0,47251.0,0.0,0.0,양쪽존재,일치,허용
울산,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),90222.0,90222.0,0.0,0.0,양쪽존재,일치,허용
울산,"Ⅱ. 지자체
자체사업","3. 모두의 역량이
고루 발휘되는 사회(자체)",34674.0,34674.0,0.0,0.0,양쪽존재,일치,허용
울산,"Ⅱ. 지자체
자체사업","4.인구구조 변화에
대한 적응(자체)",625.0,625.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1141997.0,1141997.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",2371672.0,2371672.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,"3. 모두의 역량이 고루 발휘되는
사회(공통)",214637.0,214637.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),66018.0,66018.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),300309.0,300309.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",300634.0,300634.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루 발휘되는
사회(자체)",322535.0,322535.0,0.0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,"4.인구구조
변화에 대한
적응(자체)",3568.0,3568.0,0.0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),3170.0,3176.0,6.0,0.19,양쪽존재,불일치,허용
전남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1887302.0,1887302.0,0.0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,"3. 모두의 역량이
고루 발휘되는 사회(공통)",3710.0,3710.0,0.0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),1010.0,1010.0,0.0,0.0,양쪽존재,일치,허용
전남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),145120.0,145121.0,1.0,0.0,양쪽존재,불일치,허용
전남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),200753.0,201103.0,350.0,0.17,양쪽존재,불일치,허용
전남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),317784.0,317784.0,0.0,0.0,양쪽존재,일치,허용
전남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),62627.0,62627.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),712277.0,712277.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1643044.0,1643044.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),14568.0,14568.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),65109.0,65109.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),164659.0,164660.0,1.0,0.0,양쪽존재,불일치,허용
전북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",146533.0,146533.0,0.0,0.0,양쪽존재,일치,허용
전북,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루 발휘되는
사회(자체)",104803.0,104804.0,1.0,0.0,양쪽존재,불일치,허용
전북,Ⅱ. 지자체 자체사업,"4.인구구조
변화에 대한
적응(자체)",11749.0,11750.0,1.0,0.01,양쪽존재,불일치,허용
제주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),366202.0,366202.0,0.0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",366541.0,366541.0,0.0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),29915.0,29915.0,0.0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),15491.0,15491.0,0.0,0.0,양쪽존재,일치,허용
제주,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는 사회(자체)",72644.0,72644.0,0.0,0.0,양쪽존재,일치,허용
제주,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",80536.0,80536.0,0.0,0.0,양쪽존재,일치,허용
제주,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),115396.0,115396.0,0.0,0.0,양쪽존재,일치,허용
제주,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),523.0,523.0,0.0,0.0,양쪽존재,일치,허용
충남,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),522929.0,411451.0,-111478.0,-21.32,양쪽존재,불일치,초과
충남,Ⅰ.  공통사업,"2. 건강하고 능동적인
고령사회(공통)",617588.0,21136.0,-596452.0,-96.58,양쪽존재,불일치,초과
충남,Ⅰ.  공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),19928.0,,,,원본소계만,불일치,판정불가
충남,Ⅰ.  공통사업,4.인구구조 변화에 대한 적응(공통),17795.0,1339.0,-16456.0,-92.48,양쪽존재,불일치,초과
충남,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는
사회(자체)",165311.0,114673.0,-50638.0,-30.63,양쪽존재,불일치,초과
