지역,구조환경연도,예산연도,세부영역,구조환경지수_t,인구1인당_실질예산_t+1_원,log1p_인구1인당_실질예산_t+1
대전,2017,2018,1-2. 주거안정성,74.46581326449808,1463.772005444769,7.289454881657171
대전,2018,2019,1-2. 주거안정성,72.08575718213372,2269.211534583099,7.727628293174819
대전,2019,2020,1-2. 주거안정성,72.57402023826289,2372.3879385239147,7.772073723278257
대전,2020,2021,1-2. 주거안정성,69.34322570488463,2663.0312517634775,7.887595762733917
대전,2021,2022,1-2. 주거안정성,64.44560313202976,2571.198956245831,7.85251643704924
대전,2022,2023,1-2. 주거안정성,64.31863363312482,2823.708131212127,7.946160321857948
대전,2023,2024,1-2. 주거안정성,67.03894808283975,7758.0138928553315,8.956610529439496
부산,2016,2017,1-2. 주거안정성,79.64133253057524,51592.88278515292,10.851158393766637
부산,2017,2018,1-2. 주거안정성,73.77280913319944,198.1847808606162,5.294232940929642
부산,2018,2019,1-2. 주거안정성,74.36303464801738,9321.491150615018,9.140185162802327
부산,2019,2020,1-2. 주거안정성,75.46201657004897,8706.897103282345,9.071985605941302
부산,2020,2021,1-2. 주거안정성,72.50203260843242,6966.43155912158,8.849001936433309
부산,2021,2022,1-2. 주거안정성,68.8016074066189,11193.853223905728,9.323209418085426
부산,2022,2023,1-2. 주거안정성,65.94497877435974,17821.629388410944,9.788224242800524
부산,2023,2024,1-2. 주거안정성,69.87797504181495,9193.050384528491,9.126311856504355
서울,2016,2017,1-2. 주거안정성,29.359514535810344,2999.4205619090844,8.006507745127953
서울,2017,2018,1-2. 주거안정성,27.073185303562425,27075.29344720592,10.206413843478098
서울,2018,2019,1-2. 주거안정성,26.61206447690597,4599.820428359473,8.433989920565194
서울,2019,2020,1-2. 주거안정성,24.001627298898757,7460.335596665687,8.917489711578648
서울,2020,2021,1-2. 주거안정성,22.223662376868432,81887.65668054303,11.313115758179793
서울,2021,2022,1-2. 주거안정성,2.2364196527922076,103898.2779784731,11.551177227866571
서울,2022,2023,1-2. 주거안정성,9.984973176126177,77410.26761987421,11.256887625466753
서울,2023,2024,1-2. 주거안정성,7.012952679796019,77927.39000333054,11.263545607100657
세종,2016,2017,1-2. 주거안정성,62.51824306255938,0.0,0.0
세종,2017,2018,1-2. 주거안정성,63.42708080948416,56272.581355892326,10.937980456321545
세종,2018,2019,1-2. 주거안정성,68.20612630240582,438.3992109929706,6.085408364302495
세종,2019,2020,1-2. 주거안정성,63.67437818487245,138.05205280918156,4.93484834367191
세종,2020,2021,1-2. 주거안정성,58.518707156096795,56.89137436779915,4.0585683988317145
세종,2021,2022,1-2. 주거안정성,45.630992024150885,2637.5260677361844,7.87797573255291
세종,2022,2023,1-2. 주거안정성,49.358111066051706,2589.6283482257763,7.859655730762207
세종,2023,2024,1-2. 주거안정성,47.85196360277034,1323.316738548959,7.188651936397674
울산,2016,2017,1-2. 주거안정성,70.96327267839769,0.0,0.0
울산,2017,2018,1-2. 주거안정성,76.54332027592987,1045.8026744934225,6.953495725575752
울산,2018,2019,1-2. 주거안정성,71.90842977407229,2271.994288393962,7.728853311044266
울산,2019,2020,1-2. 주거안정성,75.97077880652063,3202.8957315188654,8.07212276443738
울산,2020,2021,1-2. 주거안정성,76.63701850741349,4970.145540238968,8.511405583525463
울산,2021,2022,1-2. 주거안정성,76.62435130201375,5046.736744217358,8.526695252349548
울산,2022,2023,1-2. 주거안정성,72.83375995175973,9295.68795224087,9.137413481542866
울산,2023,2024,1-2. 주거안정성,74.37285598202419,13056.794368921606,9.477140504105478
인천,2016,2017,1-2. 주거안정성,75.60841975077088,0.0,0.0
인천,2017,2018,1-2. 주거안정성,71.90506000674462,2890.5439024634957,7.96954586076625
인천,2018,2019,1-2. 주거안정성,71.35634659075347,4903.215932932262,8.497850508647536
인천,2019,2020,1-2. 주거안정성,71.46854557493884,32467.329523205204,10.388020416998136
인천,2020,2021,1-2. 주거안정성,67.2230896469717,142466.0354166321,11.866865921520237
인천,2021,2022,1-2. 주거안정성,63.70120891643926,237496.7339374815,12.377913361095446
인천,2022,2023,1-2. 주거안정성,62.414162741051335,2304.1200158995784,7.742888021710669
인천,2023,2024,1-2. 주거안정성,57.860378629087506,15084.69021949613,9.62150190589916
전남,2016,2017,1-2. 주거안정성,98.29760773669004,190.92915497964415,5.257126319455238
전남,2017,2018,1-2. 주거안정성,92.36484775426337,2525.7288483009584,7.834680799810981
전남,2018,2019,1-2. 주거안정성,90.54817640294044,3278.2505634220897,8.095370188509554
전남,2019,2020,1-2. 주거안정성,93.43116626409568,1899.73346653268,7.549995125679385
전남,2020,2021,1-2. 주거안정성,91.77530160427916,3291.21468796463,8.099315774726636
전남,2021,2022,1-2. 주거안정성,87.0554365668962,5282.1805164879015,8.572283565894944
전남,2022,2023,1-2. 주거안정성,89.10601460613866,3873.298043543284,8.262119775324448
전남,2023,2024,1-2. 주거안정성,91.25205673743253,4722.668978806688,8.46034110263657
전북,2016,2017,1-2. 주거안정성,85.2941963436094,1453.1992171957306,7.282210661910029
전북,2017,2018,1-2. 주거안정성,92.45000292516876,1827.723717510674,7.511373580398208
전북,2018,2019,1-2. 주거안정성,90.13797793082568,3452.036417990446,8.147009244102533
전북,2019,2020,1-2. 주거안정성,88.57186392600019,65504.37802231097,11.089887525463585
전북,2020,2021,1-2. 주거안정성,89.40775720472303,2643.5925324932036,7.880272280437727
전북,2021,2022,1-2. 주거안정성,82.97241336471453,8034.639543638654,8.991641869732018
전북,2022,2023,1-2. 주거안정성,87.79070800887051,16289.172666106448,9.698317301055353
전북,2023,2024,1-2. 주거안정성,85.83690822458775,14988.29578590778,9.615091611067667
제주,2016,2017,1-2. 주거안정성,83.30706068226566,534.9956333236155,6.284126014253317
제주,2017,2018,1-2. 주거안정성,76.52453796522435,518.0378738392518,6.251976855145473
제주,2018,2019,1-2. 주거안정성,68.69965271894529,941.4266014697024,6.848458039864921
제주,2019,2020,1-2. 주거안정성,72.45033430129348,1202.2856804819062,7.092811161167131
제주,2020,2021,1-2. 주거안정성,71.48322889123288,26050.430527944023,10.167827960374103
제주,2021,2022,1-2. 주거안정성,70.44987318109007,30656.167569747933,10.330621766219256
제주,2022,2023,1-2. 주거안정성,64.14510527509168,57662.898429612265,10.962386579548802
제주,2023,2024,1-2. 주거안정성,71.26518502207891,15552.651677884383,9.652050724628689
충남,2016,2017,1-2. 주거안정성,80.92922256264319,0.0,0.0
충남,2017,2018,1-2. 주거안정성,82.765483388621,2091.4952318129035,7.646112523657523
충남,2018,2019,1-2. 주거안정성,83.06721829426532,176.84464842421883,5.180910407552191
충남,2019,2020,1-2. 주거안정성,83.45732407622386,140.57629575978575,4.95283876441983
충남,2020,2021,1-2. 주거안정성,82.72479779294063,463.9703642675036,6.141973670798281
충남,2021,2022,1-2. 주거안정성,77.17658919855958,715.0725531392587,6.573781493027068
충남,2022,2023,1-2. 주거안정성,76.87568290630382,1837.342800981963,7.516619793132413
충남,2023,2024,1-2. 주거안정성,79.9001852121128,0.0,0.0
충북,2016,2017,1-2. 주거안정성,86.97873223065204,25.28143110765596,3.2688626482850194
충북,2017,2018,1-2. 주거안정성,85.32684018090265,27.37518929519967,3.3455151469757785
충북,2018,2019,1-2. 주거안정성,86.23712188614682,18209.01287806614,9.809726879918886
충북,2019,2020,1-2. 주거안정성,86.68709132795546,4517.256910268072,8.415881559127088
충북,2020,2021,1-2. 주거안정성,82.27842177880973,40057.18617965243,10.598088330602447
충북,2021,2022,1-2. 주거안정성,79.03203675208212,5375.899653875897,8.589867214533232
충북,2022,2023,1-2. 주거안정성,75.8475577536619,2896.094914297251,7.971463760193392
충북,2023,2024,1-2. 주거안정성,78.19242555487585,11559.996153790558,9.355392310986966
강원,2016,2017,1-3. 경제적 여건,11.949351076031132,5014.7951564881505,8.520347243458158
강원,2017,2018,1-3. 경제적 여건,14.653015543499215,32865.49525540645,10.400209036556273
강원,2018,2019,1-3. 경제적 여건,21.07489381241043,75074.3988684735,11.226248205770798
강원,2019,2020,1-3. 경제적 여건,27.316800467753463,49659.19888316575,10.81295906395075
강원,2020,2021,1-3. 경제적 여건,38.126260549005345,143826.080388341,11.876367026346792
강원,2021,2022,1-3. 경제적 여건,47.85998121279257,160026.16019399918,11.983098831022351
강원,2022,2023,1-3. 경제적 여건,57.01674919492798,302069.039267645,12.618414187572945
강원,2023,2024,1-3. 경제적 여건,66.52937014025515,314363.3471826355,12.65830793356065
