지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도,세출예산순계액_백만원,세출예산순계액_원,예산단계,자치단체수,출처,포함회계,계획예산_총세출비율_pct,분모대안,분자분모_단위
경북,2019,2232261.0,629,629,0,0,1.089,6,3,2,1,0,0.0,,99.467,2020=100,601357,2244222.7070284616,14.62387023184504,3731930.794899638,15.132436565032004,0.3179499807639263,0.2781691882604895,61.630302914916136,-264183.0696108411,-0.1053191122708969,-0.11128812738073,-0.081294684575754,1.167,1.256,0.0889999999999999,17575618.782,17575618782000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,12.700895642355198,지역통합_3개회계_순계,백만원
경북,2020,2646517.0,618,618,0,0,1.003,6,4,2,0,0,0.03,,100.0,2020=100,575280,2646517.0,14.788755371692908,4600398.06702823,15.341653611398227,0.4996517781471981,0.6952674353644616,67.99820617456645,402294.2929715384,0.1792577410929994,0.1648851398478665,0.2092170463662235,1.089,1.167,0.078,19253998.1,19253998100000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,13.74528545320673,지역통합_3개회계_순계,백만원
경북,2021,3199705.6,439,439,0,0,0.966,6,4,2,0,0,4.98,,102.59,2020=100,555496,3118925.4313285896,14.952999408049362,5614667.668765552,15.54089313617953,0.6806470858079525,1.092474345525326,74.0624253256445,472408.4313285896,0.1785019447555369,0.1642440363564539,0.1992395247813032,1.003,1.089,0.086,20110469.353,20110469353000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,15.910646061190414,지역통합_3개회계_순계,백만원
경북,2022,3356569.7,742,739,3,0,0.93,8,7,1,0,0,0.04,,108.06,2020=100,529688,3106209.235609846,14.948913967331809,5864224.289789171,15.58438094094248,0.6761449704434805,1.179172286501296,75.38605616029587,-12716.195718743373,-0.0040771079651387,-0.004085440717553,0.0434878047629485,0.966,1.003,0.0369999999999999,21998328.107,21998328107000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,15.258294556175473,지역통합_3개회계_순계,백만원
경북,2023,3406826.0,264,264,0,0,0.86,8,7,1,0,0,0.0,,111.62,2020=100,507409,3052164.4866511375,14.931361892279265,6015195.801909579,15.609799625377637,0.6568027569013977,1.2298473577047873,76.15972028701007,-54044.74895870872,-0.0173989402707116,-0.0175520750525457,0.0254186844351558,0.93,0.966,0.0359999999999999,24172297.929,24172297929000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,14.093926899323714,지역통합_3개회계_순계,백만원
경북,2024,4062706.0,694,694,0,0,0.897,8,8,0,0,0,0.0,,114.24,2020=100,491584,3556290.2661064425,15.084228780615518,7234349.096200125,15.794351086259011,0.8252605596889236,1.597771922987851,81.77688136318075,504125.7794553051,0.1651699250352121,0.1528668883362556,0.1845514608813765,0.86,0.93,0.07,24554048.663,24554048663000,당초예산,23,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.54597193220526,지역통합_3개회계_순계,백만원
광주,2016,1102184.9,278,278,0,0,1.168,5,1,2,2,1,100.1,,95.718,2020=100,414797,1151491.7779310057,13.956569726343924,2776036.899811246,14.836535253185392,-0.4174085928236706,-0.3117441129288757,52.62400557457169,,,,,,,,4106117.093,4106117093000,당초예산,6,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,26.842510211873293,지역통합_3개회계_순계,백만원
광주,2017,1244520.8,284,280,4,0,1.053,5,0,0,5,0,,,97.492,2020=100,409132,1276536.3311861486,14.059661760191904,3120108.7453099457,14.953378733945875,-0.3038021886118769,-0.0788031941214483,56.18035050404341,125044.55325514312,0.1085935268073059,0.1030920338479788,0.1168434807604832,1.168,,,4236416.938,4236416938000,당초예산,6,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,29.376730813174746,지역통합_3개회계_순계,백만원
광주,2018,3239297.3600000003,287,286,1,0,0.972,6,1,1,4,0,0.0,,99.158,2020=100,406163,3266803.8484035586,14.99932295460975,8043085.77690129,15.90032349494914,0.7316951770971766,1.809040109178889,85.00234534162553,1990267.51721741,1.5591154506100642,0.9396611944178463,0.9469447610032642,1.053,1.168,0.1149999999999999,4731652.999,4731652999000,당초예산,6,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,68.46016309067046,지역통합_3개회계_순계,백만원
광주,2019,1088029.0,293,293,0,0,0.913,5,3,2,0,0,0.0,,99.467,2020=100,400391,1093859.2699086128,13.905223529774307,2731977.666602428,14.820536690931652,-0.4739915948704442,-0.3436390870149648,52.13706008664535,-2172944.5784949455,-0.665159182898855,-1.0940994248354432,-1.0797868040174876,0.972,1.053,0.0809999999999999,5328381.528,5328381528000,당초예산,6,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,20.419502512771267,지역통합_3개회계_순계,백만원
