연도,지역,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처
2021,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3430320115000,3430320.115,행정안전부 지방재정365 기능별 회계별 세출예산
2021,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5119959513000,5119959.513,행정안전부 지방재정365 기능별 회계별 세출예산
2021,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3073652815000,3073652.815,행정안전부 지방재정365 기능별 회계별 세출예산
2021,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6980091697000,6980091.697,행정안전부 지방재정365 기능별 회계별 세출예산
2021,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,21103202922000,21103202.922,행정안전부 지방재정365 기능별 회계별 세출예산
2021,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1665746650000,1665746.65,행정안전부 지방재정365 기능별 회계별 세출예산
2021,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2307167711000,2307167.711,행정안전부 지방재정365 기능별 회계별 세출예산
2021,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6790107477000,6790107.477,행정안전부 지방재정365 기능별 회계별 세출예산
2021,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2588722601000,2588722.601,행정안전부 지방재정365 기능별 회계별 세출예산
2021,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2164966356000,2164966.356,행정안전부 지방재정365 기능별 회계별 세출예산
2021,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5559803500000,5559803.5,행정안전부 지방재정365 기능별 회계별 세출예산
2021,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2270833471000,2270833.471,행정안전부 지방재정365 기능별 회계별 세출예산
2021,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1731662743000,1731662.743,행정안전부 지방재정365 기능별 회계별 세출예산
2022,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2314141633000,2314141.633,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,11223008405000,11223008.405,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3204357810000,3204357.81,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3409579457000,3409579.457,행정안전부 지방재정365 기능별 회계별 세출예산
2022,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3693495210000,3693495.21,행정안전부 지방재정365 기능별 회계별 세출예산
2022,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5419966849000,5419966.849,행정안전부 지방재정365 기능별 회계별 세출예산
2022,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3400234314000,3400234.314,행정안전부 지방재정365 기능별 회계별 세출예산
2022,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7440674001000,7440674.001,행정안전부 지방재정365 기능별 회계별 세출예산
2022,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,23411790156000,23411790.156,행정안전부 지방재정365 기능별 회계별 세출예산
2022,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1771604264000,1771604.264,행정안전부 지방재정365 기능별 회계별 세출예산
2022,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2525314548000,2525314.548,행정안전부 지방재정365 기능별 회계별 세출예산
2022,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7440498623000,7440498.623,행정안전부 지방재정365 기능별 회계별 세출예산
2022,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2932912152000,2932912.152,행정안전부 지방재정365 기능별 회계별 세출예산
2022,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2330179567000,2330179.567,행정안전부 지방재정365 기능별 회계별 세출예산
2022,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6094351579000,6094351.579,행정안전부 지방재정365 기능별 회계별 세출예산
2022,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2519271177000,2519271.177,행정안전부 지방재정365 기능별 회계별 세출예산
2022,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1925157519000,1925157.519,행정안전부 지방재정365 기능별 회계별 세출예산
2023,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2444530582000,2444530.582,행정안전부 지방재정365 기능별 회계별 세출예산
