지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
세종,2019,1-2. 주거안정성,63.67437818487245,58.518707156096795,2020.0,-5.155671028775657,2021,2022.0,0.0108283086181938,0.4137297760930767,0.4029014674748829,False,True,하락 후 비중 증가
세종,2020,1-2. 주거안정성,58.518707156096795,45.630992024150885,2021.0,-12.88771513194591,2022,2023.0,0.4137297760930767,0.3071096833755687,-0.106620092717508,False,False,하락 후 비중 비증가
울산,2017,1-2. 주거안정성,76.54332027592987,71.90842977407229,2018.0,-4.6348905018575834,2019,2020.0,0.6365766695071086,0.2568271676535495,-0.379749501853559,False,False,하락 후 비중 비증가
울산,2020,1-2. 주거안정성,76.63701850741349,76.62435130201375,2021.0,-0.0126672053997367,2022,2023.0,0.5651813334527228,0.3113263920550896,-0.2538549413976332,False,False,하락 후 비중 비증가
울산,2021,1-2. 주거안정성,76.62435130201375,72.83375995175973,2022.0,-3.7905913502540183,2023,2024.0,0.3113263920550896,1.1261991935857627,0.8148728015306731,False,True,하락 후 비중 증가
인천,2016,1-2. 주거안정성,75.60841975077088,71.90506000674462,2017.0,-3.7033597440262582,2018,2019.0,0.5099320847231557,0.5906487170093636,0.0807166322862079,False,True,하락 후 비중 증가
인천,2017,1-2. 주거안정성,71.90506000674462,71.35634659075347,2018.0,-0.5487134159911449,2019,2020.0,0.5906487170093636,3.028325832159578,2.437677115150214,False,True,하락 후 비중 증가
인천,2019,1-2. 주거안정성,71.46854557493884,67.2230896469717,2020.0,-4.245455927967143,2021,2022.0,11.411463412907542,14.974185073167751,3.562721660260209,False,True,하락 후 비중 증가
인천,2020,1-2. 주거안정성,67.2230896469717,63.70120891643926,2021.0,-3.5218807305324376,2022,2023.0,14.974185073167751,0.1537236291533627,-14.820461444014388,False,False,하락 후 비중 비증가
인천,2021,1-2. 주거안정성,63.70120891643926,62.414162741051335,2022.0,-1.2870461753879283,2023,2024.0,0.1537236291533627,0.9652071326754734,0.8114835035221107,False,True,하락 후 비중 증가
전남,2016,1-2. 주거안정성,98.29760773669004,92.36484775426337,2017.0,-5.932759982426674,2018,2019.0,0.2505544609983575,0.3462892066705143,0.0957347456721568,False,True,하락 후 비중 증가
전남,2017,1-2. 주거안정성,92.36484775426337,90.54817640294044,2018.0,-1.816671351322924,2019,2020.0,0.3462892066705143,0.1672744104378362,-0.1790147962326781,False,False,하락 후 비중 비증가
전남,2019,1-2. 주거안정성,93.43116626409568,91.77530160427916,2020.0,-1.6558646598165154,2021,2022.0,0.2754790928252256,0.4020545598928043,0.1265754670675787,False,True,하락 후 비중 증가
전남,2020,1-2. 주거안정성,91.77530160427916,87.0554365668962,2021.0,-4.719865037382959,2022,2023.0,0.4020545598928043,0.2517542232803339,-0.1503003366124704,False,False,하락 후 비중 비증가
전북,2017,1-2. 주거안정성,92.45000292516876,90.13797793082568,2018.0,-2.3120249943430764,2019,2020.0,0.2864106102374373,5.125146093367968,4.83873548313053,False,True,하락 후 비중 증가
전북,2018,1-2. 주거안정성,90.13797793082568,88.57186392600019,2019.0,-1.5661140048254936,2020,2021.0,5.125146093367968,0.1928147638259207,-4.932331329542047,False,False,하락 후 비중 비증가
전북,2020,1-2. 주거안정성,89.40775720472303,82.97241336471453,2021.0,-6.4353438400085,2022,2023.0,0.5293224943640673,1.0361667765485272,0.5068442821844599,False,True,하락 후 비중 증가
제주,2016,1-2. 주거안정성,83.30706068226566,76.52453796522435,2017.0,-6.782522717041303,2018,2019.0,0.0135629756083446,0.0798159878679698,0.0662530122596252,False,True,하락 후 비중 증가
제주,2017,1-2. 주거안정성,76.52453796522435,68.69965271894529,2018.0,-7.824885246279067,2019,2020.0,0.0798159878679698,0.0869629121552104,0.0071469242872406,False,True,하락 후 비중 증가
제주,2019,1-2. 주거안정성,72.45033430129348,71.48322889123288,2020.0,-0.9671054100605972,2021,2022.0,2.2472229082743564,2.1535036773639717,-0.0937192309103847,False,False,하락 후 비중 비증가
제주,2020,1-2. 주거안정성,71.48322889123288,70.44987318109007,2021.0,-1.033355710142814,2022,2023.0,2.1535036773639717,3.7932667620533738,1.639763084689402,False,True,하락 후 비중 증가
제주,2021,1-2. 주거안정성,70.44987318109007,64.14510527509168,2022.0,-6.304767905998389,2023,2024.0,3.7932667620533738,0.995561700762379,-2.7977050612909946,False,False,하락 후 비중 비증가
