지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도
제주,2019,2-3. 가사수행 격차,46.03498034532516,46.03498034532516,2020.0,0.0,2021,2022.0,0.0,0.0,0.0,False
제주,2020,2-3. 가사수행 격차,46.03498034532516,47.82438506576437,2021.0,1.789404720439208,2022,2023.0,0.0,0.0,0.0,False
제주,2021,2-3. 가사수행 격차,47.82438506576437,49.61378978620357,2022.0,1.789404720439201,2023,2024.0,0.0,0.0,0.0,False
충남,2016,2-3. 가사수행 격차,30.595113698561985,30.595113698561985,2017.0,0.0,2018,2019.0,0.000764330294942,0.0009396231337426,0.0001752928388006,False
충남,2017,2-3. 가사수행 격차,30.595113698561985,30.595113698561985,2018.0,0.0,2019,2020.0,0.0009396231337426,0.0009122435718405,-2.7379561902100055e-05,False
충남,2018,2-3. 가사수행 격차,30.595113698561985,30.595113698561985,2019.0,0.0,2020,2021.0,0.0009122435718405,0.0002394188824884,-0.0006728246893521,False
충남,2019,2-3. 가사수행 격차,30.595113698561985,30.595113698561985,2020.0,0.0,2021,2022.0,0.0002394188824884,0.0007798487093503,0.0005404298268619001,False
충남,2020,2-3. 가사수행 격차,30.595113698561985,36.3900913900914,2021.0,5.794977691529414,2022,2023.0,0.0007798487093503,0.0005903536218194,-0.0001894950875309001,False
충남,2021,2-3. 가사수행 격차,36.3900913900914,42.1850690816208,2022.0,5.794977691529404,2023,2024.0,0.0005903536218194,0.0,-0.0005903536218194,False
충북,2016,2-3. 가사수행 격차,25.992934268796343,25.992934268796343,2017.0,0.0,2018,2019.0,0.0,0.0,0.0,False
충북,2017,2-3. 가사수행 격차,25.992934268796343,25.992934268796343,2018.0,0.0,2019,2020.0,0.0,0.0,0.0,False
충북,2018,2-3. 가사수행 격차,25.992934268796343,25.992934268796343,2019.0,0.0,2020,2021.0,0.0,5.386425853499645e-05,5.386425853499645e-05,False
충북,2019,2-3. 가사수행 격차,25.992934268796343,25.992934268796343,2020.0,0.0,2021,2022.0,5.386425853499645e-05,0.0,-5.386425853499645e-05,False
충북,2020,2-3. 가사수행 격차,25.992934268796343,36.67238891376821,2021.0,10.679454644971866,2022,2023.0,0.0,0.0,0.0,False
충북,2021,2-3. 가사수행 격차,36.67238891376821,47.351843558740114,2022.0,10.679454644971905,2023,2024.0,0.0,0.0,0.0,False
강원,2016,3-1. 의료서비스 여건,27.689927173546273,29.602522458370306,2017.0,1.9125952848240324,2018,2019.0,0.3783474314683074,0.4761573536407685,0.0978099221724611,False
강원,2017,3-1. 의료서비스 여건,29.602522458370306,29.56325256845751,2018.0,-0.03926988991279501,2019,2020.0,0.4761573536407685,0.5235219931954307,0.04736463955466219,False
강원,2018,3-1. 의료서비스 여건,29.56325256845751,28.607719605248487,2019.0,-0.9555329632090235,2020,2021.0,0.5235219931954307,0.4650616940865429,-0.05846029910888778,False
강원,2019,3-1. 의료서비스 여건,28.607719605248487,29.507339394449595,2020.0,0.8996197892011075,2021,2022.0,0.4650616940865429,5.022245764476405,4.557184070389861,False
