지역,세부영역,2016_비중_pct,2024_비중_pct,2016-2018_합계기준_비중_pct,2022-2024_합계기준_비중_pct,2016→2024_비중변화_pp,3개년구간_비중변화_pp,예산누락주의
대전,2-3. 가사수행 격차,0.0,0.0,0.0,0.00018184709963991316,0.0,0.00018184709963991316,False
대전,3-1. 의료서비스 여건,4.126999339014892,0.3098398305843052,2.9671538084034976,0.2717432133469042,-3.817159508430587,-2.695410595056593,False
대전,3-2. 산후조리 여건,0.26509871791438766,0.30280072777164674,0.24295528078818632,0.29259198332062025,0.03770200985725908,0.049636702532433935,False
대전,3-3. 아동안전 수준,0.2808834368970625,0.15963253497181376,0.2903769727438992,0.19758596611374762,-0.12125090192524876,-0.09279100663015155,False
대전,4-1. 일·가정 양립 여건,1.1958333979285374,0.027619530527634443,0.4803475668293534,0.026686061872157257,-1.1682138674009028,-0.45366150495719615,True
대전,4-2. 사회적 가치관,2.2345242809849104,0.06209920362692754,0.6080883067515532,0.06724023818060339,-2.1724250773579827,-0.5408480685709498,False
대전,지표체계 외,29.301934896490295,46.82781042145137,37.480135945967966,50.99918275640333,17.525875524961073,13.519046810435363,True
부산,1-1. 고용여건,0.29869664255086054,0.7952069512383009,0.19424687971375704,1.3945486885180916,0.49651030868744034,1.2003018088043345,False
부산,1-2. 주거안정성,0.740497780972897,0.6260667683634265,2.1963254742873852,0.8614642715521701,-0.11443101260947053,-1.3348612027352151,False
부산,1-3. 경제적 여건,6.06301332316283,10.911803808228848,2.7278579359912247,8.085046853700524,4.848790485066019,5.3571889177092995,True
부산,2-1. 돌봄 여건,36.739574388887505,21.86038356648744,50.947602103811576,26.91683500416091,-14.879190822400066,-24.030767099650667,False
부산,2-2. 여가 인프라,0.2877279907245257,0.6030296794842528,0.25730786098525404,1.1368547947673022,0.3153016887597271,0.8795469337820482,True
부산,2-3. 가사수행 격차,0.0003697937597052728,0.000437808928925473,0.00019136583408746097,0.0012031682831395456,6.801516922020018e-05,0.0010118024490520846,False
부산,3-1. 의료서비스 여건,1.1953327271408531,0.6889027736863491,0.6187952820477218,0.5362080134087654,-0.506429953454504,-0.08258726863895638,True
부산,3-2. 산후조리 여건,0.2985089011036256,0.23773024840653187,0.18619235774523446,0.234086902264362,-0.06077865269709373,0.04789454451912753,False
부산,3-3. 아동안전 수준,0.06237567356013248,0.2941659041494488,0.5348133959351598,0.2010641169081281,0.23179023058931633,-0.33374927902703166,False
부산,4-1. 일·가정 양립 여건,0.07399857588440743,0.0250176530814556,0.04655732778691973,0.029922394379984774,-0.04898092280295183,-0.01663493340693496,True
부산,4-2. 사회적 가치관,0.13781416945348457,0.013738861150566035,0.5014366869179979,0.02415126515746797,-0.12407530830291853,-0.47728542176052996,True
부산,지표체계 외,54.10209003279917,63.943515976794465,41.78867332894368,60.578614526899145,9.841425943995297,18.789941197955464,False
서울,1-1. 고용여건,1.3313207482062384,4.711880497869449,2.3317904810142953,3.014558264400628,3.3805597496632105,0.6827677833863328,False
서울,1-2. 주거안정성,0.0,14.924118806825726,1.7157182345746198,11.178575847537763,14.924118806825726,9.462857612963143,True
서울,1-3. 경제적 여건,0.3057218731323719,27.4546487017522,1.533936913684687,13.943638424887702,27.148926828619825,12.409701511203014,False
서울,2-1. 돌봄 여건,48.90148125818042,42.1936538863702,49.61760522019322,29.312002401090954,-6.707827371810218,-20.305602819102265,True
