시차,세부영역,군집,계수,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,3-3. 아동안전 수준,1,0.0007450379467244181,0.0065503335498650235,0.9108585265066561,-0.013141048857301217,0.014631124750750053,102,17,6,True,,0.978646441292218,False
t+1,3-3. 아동안전 수준,2,0.06033384581967409,0.005417533490455288,6.020448298445475e-09,0.0488491878645493,0.07181850377479887,102,17,6,True,,2.2074977094300076e-08,True
t+1,3-3. 아동안전 수준,3,-0.0017210772240814146,0.006157375455912704,0.7834308648514158,-0.014774130082365644,0.011331975634202815,102,17,6,True,,0.9575266125961748,False
t+1,4-1. 일·가정 양립 여건,1,-0.00024767586812227127,0.009109933275135335,0.978646441292218,-0.01955987169363371,0.019064519957389166,102,17,6,True,,0.978646441292218,False
t+1,4-1. 일·가정 양립 여건,2,-0.026737765776864375,0.0013834287791679605,1.6207841939536146e-12,-0.029670503776917725,-0.023805027776811025,102,17,6,True,,8.91431306674488e-12,True
t+1,4-1. 일·가정 양립 여건,3,0.004928202924181585,0.0048326054002990546,0.3230050031533886,-0.0053164628729576325,0.015172868721320803,102,17,6,True,,0.7285654809245726,False
t+1,4-2. 사회적 가치관,1,-0.0004442745971482802,0.01005521936158365,0.9653048770249408,-0.021760387406601623,0.020871838212305063,102,17,6,True,,0.978646441292218,False
t+1,4-2. 사회적 가치관,2,-0.013898071204080927,0.007490168826230825,0.0820408518537749,-0.0297765197908695,0.0019803773827076453,102,17,6,True,,0.10027215226572486,False
t+1,4-2. 사회적 가치관,3,-0.0005131657635860758,0.023376582457960687,0.98275758066678,-0.05006930679389955,0.04904297526672741,102,17,6,True,,0.98275758066678,False
t+2,1-1. 고용여건,1,0.01143835240488457,0.00879685210133592,0.2119248584788412,-0.007210140981203077,0.030086845790972216,85,17,5,True,,0.5827933608168133,False
t+2,1-1. 고용여건,2,-0.07760367297450087,0.01948218978049801,0.0010688790293343331,-0.11890407033061277,-0.03630327561838896,85,17,5,True,,0.0016796670460968092,True
t+2,1-1. 고용여건,3,-0.002426697091977306,0.008425850933429027,0.7770392984207245,-0.020288703136201854,0.015435308952247241,85,17,5,True,,0.8899381928781436,False
t+2,1-2. 주거안정성,1,-0.0004421302922967066,0.003870130936244075,0.9104675073140049,-0.008646441372720637,0.007762180788127224,85,17,5,True,,0.941476097819605,False
t+2,1-2. 주거안정성,2,0.027996117616762385,0.013940477698466984,0.061805006024047385,-0.0015563749298934913,0.057548610163418265,85,17,5,True,,0.07553945180716902,False
t+2,1-2. 주거안정성,3,-0.0019749080863237026,0.004293585326242799,0.6517285466815426,-0.011076902372084432,0.007127086199437027,85,17,5,True,,0.8899381928781436,False
t+2,1-3. 경제적 여건,1,0.005686896770034283,0.014560786189650595,0.7012716828714278,-0.025180591034233674,0.03655438457430224,85,17,5,True,,0.941476097819605,False
t+2,1-3. 경제적 여건,2,-0.03792802164932396,0.03870301610877513,0.3416845445967327,-0.11997475059416193,0.04411870729551401,85,17,5,True,,0.3416845445967327,False
t+2,1-3. 경제적 여건,3,-0.01073825916562822,0.01731533935500783,0.543885683997142,-0.04744513882212366,0.02596862049086722,85,17,5,True,,0.8899381928781436,False
t+2,2-1. 돌봄 여건,1,0.026931585564662436,0.014300043611731044,0.07796544946172852,-0.0033831526669412526,0.057246323796266124,85,17,5,True,,0.3939751861790399,False
t+2,2-1. 돌봄 여건,2,0.3429604254313682,0.30234258584656454,0.27336005802477237,-0.29797722448502106,0.9838980753477574,85,17,5,True,,0.3006960638272496,False
t+2,2-1. 돌봄 여건,3,0.05106420552225929,0.010666859162569176,0.000201526430819986,0.028451474257482103,0.07367693678703649,85,17,5,True,,0.002216790739019846,True
t+2,2-2. 여가 인프라,1,0.00824422068846542,0.004560844464388692,0.08950415186934531,-0.0014243376605160927,0.01791277903744693,85,17,5,True,,0.3939751861790399,False
t+2,2-2. 여가 인프라,2,-0.06456716815153697,0.006697599903916862,4.561457815018963e-08,-0.07876544567991409,-0.05036889062315985,85,17,5,True,,1.67253453217362e-07,True
t+2,2-2. 여가 인프라,3,0.0013479488443429166,0.003467452335418277,0.702590458390856,-0.006002721736307404,0.008698619424993236,85,17,5,True,,0.8899381928781436,False
t+2,2-3. 가사수행 격차,1,-0.0006745169405748749,0.005457827821671212,0.9031814453962341,-0.012244595061972873,0.010895561180823124,85,17,5,True,,0.941476097819605,False
t+2,2-3. 가사수행 격차,2,0.04165209504348475,0.006083658064878777,3.927085288263837e-06,0.028755316073098107,0.054548874013871394,85,17,5,True,,1.0799484542725553e-05,True
t+2,2-3. 가사수행 격차,3,0.029654458562335874,0.014854118357772197,0.06320003783996413,-0.0018348656595651228,0.06114378278423687,85,17,5,True,,0.34367859004397006,False
t+2,3-1. 의료서비스 여건,1,0.007009306974694096,0.01088283630218535,0.5286557820802011,-0.016061275372866068,0.03007988932225426,85,17,5,True,,0.941476097819605,False
t+2,3-1. 의료서비스 여건,2,-0.07018041417370321,0.014906181559029839,0.00023686576191575114,-0.10178010745184471,-0.038580720895561714,85,17,5,True,,0.0004342538968455438,True
t+2,3-1. 의료서비스 여건,3,0.002224842142173944,0.01544865477485756,0.8872867342953498,-0.030524842980886334,0.03497452726523422,85,17,5,True,,0.8899381928781436,False
t+2,3-2. 산후조리 여건,1,0.03247606994321403,0.019042690709445784,0.10744777804882906,-0.00789263100317144,0.07284477088959951,85,17,5,True,,0.3939751861790399,False
t+2,3-2. 산후조리 여건,2,0.14842627228623934,0.0402481508143715,0.0019931524292035284,0.06310400409099695,0.23374854048148172,85,17,5,True,,0.0027405845901548515,True
t+2,3-2. 산후조리 여건,3,0.022337717721658643,0.012535009028756079,0.09373052455744638,-0.004235314344187641,0.048910749787504926,85,17,5,True,,0.34367859004397006,False
t+2,3-3. 아동안전 수준,1,0.0004299188964814876,0.005431977870124964,0.9378979876690698,-0.011085359775649008,0.011945197568611983,85,17,5,True,,0.941476097819605,False
t+2,3-3. 아동안전 수준,2,0.04977581119533918,0.0023610065874226935,4.239002458796488e-13,0.044770700819165524,0.05478092157151283,85,17,5,True,,4.662902704676137e-12,True
t+2,3-3. 아동안전 수준,3,0.005402851218972618,0.00785635902013251,0.5014876664008064,-0.011251885900390994,0.02205758833833623,85,17,5,True,,0.8899381928781436,False
t+2,4-1. 일·가정 양립 여건,1,0.012649831033831632,0.014123773708660152,0.38372148875047934,-0.017291231696158857,0.04259089376382212,85,17,5,True,,0.8441872752510546,False
t+2,4-1. 일·가정 양립 여건,2,-0.018251505563888326,0.001462567426050651,1.1644648671000552e-09,-0.02135201000084149,-0.015151001126935161,85,17,5,True,,6.404556769050304e-09,True
t+2,4-1. 일·가정 양립 여건,3,-0.000800756774538447,0.005695146417465275,0.8899381928781436,-0.012873927844764026,0.011272414295687132,85,17,5,True,,0.8899381928781436,False
t+2,4-2. 사회적 가치관,1,0.00045153243090558653,0.006054618265869806,0.941476097819605,-0.012383684915673617,0.01328674977748479,85,17,5,True,,0.941476097819605,False
t+2,4-2. 사회적 가치관,2,-0.029025259145888195,0.004778366923731025,1.6101368593472754e-05,-0.03915494450912916,-0.01889557378264723,85,17,5,True,,3.542301090564006e-05,True
t+2,4-2. 사회적 가치관,3,-0.013628859224855759,0.01332004479959062,0.3214428223893346,-0.04186609278137243,0.014608374331660911,85,17,5,True,,0.88396776157067,False
