지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
경기,2022,4-2. 사회적 가치관,0.839,-0.2472151238042698,2.1549900579223817
경기,2023,4-2. 사회적 가치관,0.766,0.236812472488177,-0.2472151238042698
경기,2024,4-2. 사회적 가치관,0.789,-0.2221554281749963,0.236812472488177
경남,2016,1-1. 고용여건,1.358,,
경남,2017,1-1. 고용여건,1.227,-0.4745769981535984,
경남,2018,1-1. 고용여건,1.122,-0.6383221494189427,-0.4745769981535984
경남,2019,1-1. 고용여건,1.046,1.091221661361246,-0.6383221494189427
경남,2020,1-1. 고용여건,0.945,0.6595677455801976,1.091221661361246
경남,2021,1-1. 고용여건,0.903,0.5310070488666506,0.6595677455801976
경남,2022,1-1. 고용여건,0.838,0.918436010303513,0.5310070488666506
경남,2023,1-1. 고용여건,0.799,0.3554320491566783,0.918436010303513
경남,2024,1-1. 고용여건,0.82,0.939829728633956,0.3554320491566783
경남,2016,1-2. 주거안정성,1.358,,
경남,2017,1-2. 주거안정성,1.227,-2.1430285928748103,
경남,2018,1-2. 주거안정성,1.122,-2.1430285928748103,-2.1430285928748103
경남,2019,1-2. 주거안정성,1.046,-2.1430285928748103,-2.1430285928748103
경남,2020,1-2. 주거안정성,0.945,0.2269944151888158,-2.1430285928748103
경남,2021,1-2. 주거안정성,0.903,1.0688897187960007,0.2269944151888158
경남,2022,1-2. 주거안정성,0.838,0.2595290864182179,1.0688897187960007
경남,2023,1-2. 주거안정성,0.799,0.0956965430781038,0.2595290864182179
경남,2024,1-2. 주거안정성,0.82,0.1335504138918396,0.0956965430781038
경남,2016,1-3. 경제적 여건,1.358,,
경남,2017,1-3. 경제적 여건,1.227,-1.227420041277999,
경남,2018,1-3. 경제적 여건,1.122,-1.150628023487544,-1.227420041277999
경남,2019,1-3. 경제적 여건,1.046,-1.621401251559388,-1.150628023487544
경남,2020,1-3. 경제적 여건,0.945,0.4376342035346906,-1.621401251559388
경남,2021,1-3. 경제적 여건,0.903,0.6012841003266411,0.4376342035346906
경남,2022,1-3. 경제적 여건,0.838,0.5435499750525248,0.6012841003266411
경남,2023,1-3. 경제적 여건,0.799,0.6559345704671344,0.5435499750525248
경남,2024,1-3. 경제적 여건,0.82,0.9153560099693592,0.6559345704671344
경남,2016,2-1. 돌봄 여건,1.358,,
경남,2017,2-1. 돌봄 여건,1.227,-1.2257937069228186,
경남,2018,2-1. 돌봄 여건,1.122,-0.2907101606770352,-1.2257937069228186
경남,2019,2-1. 돌봄 여건,1.046,-0.3248080656548829,-0.2907101606770352
경남,2020,2-1. 돌봄 여건,0.945,0.5350420572399114,-0.3248080656548829
경남,2021,2-1. 돌봄 여건,0.903,0.5031679721849674,0.5350420572399114
경남,2022,2-1. 돌봄 여건,0.838,0.843349807618148,0.5031679721849674
경남,2023,2-1. 돌봄 여건,0.799,0.2366748093476665,0.843349807618148
경남,2024,2-1. 돌봄 여건,0.82,0.4398786995067409,0.2366748093476665
경남,2016,2-2. 여가 인프라,1.358,,
경남,2017,2-2. 여가 인프라,1.227,0.2097404507672608,
경남,2018,2-2. 여가 인프라,1.122,0.5778806121334956,0.2097404507672608
경남,2019,2-2. 여가 인프라,1.046,1.5597177746611433,0.5778806121334956
경남,2020,2-2. 여가 인프라,0.945,0.3309823520416265,1.5597177746611433
경남,2021,2-2. 여가 인프라,0.903,0.0001966447095636,0.3309823520416265
경남,2022,2-2. 여가 인프라,0.838,0.3079700566816047,0.0001966447095636
경남,2023,2-2. 여가 인프라,0.799,0.4776872173644122,0.3079700566816047
경남,2024,2-2. 여가 인프라,0.82,0.3366879260842502,0.4776872173644122
경남,2016,2-3. 가사수행 격차,1.358,,
경남,2017,2-3. 가사수행 격차,1.227,-0.931640529002546,
경남,2018,2-3. 가사수행 격차,1.122,-0.931640529002546,-0.931640529002546
경남,2019,2-3. 가사수행 격차,1.046,-0.931640529002546,-0.931640529002546
경남,2020,2-3. 가사수행 격차,0.945,-0.931640529002546,-0.931640529002546
경남,2021,2-3. 가사수행 격차,0.903,0.8968357088153075,-0.931640529002546
경남,2022,2-3. 가사수행 격차,0.838,-0.931640529002546,0.8968357088153075
경남,2023,2-3. 가사수행 격차,0.799,-0.931640529002546,-0.931640529002546
경남,2024,2-3. 가사수행 격차,0.82,-0.931640529002546,-0.931640529002546
경남,2016,3-1. 의료서비스 여건,1.358,,
경남,2017,3-1. 의료서비스 여건,1.227,0.7069676319699277,
경남,2018,3-1. 의료서비스 여건,1.122,0.8921995351687134,0.7069676319699277
경남,2019,3-1. 의료서비스 여건,1.046,-1.106597221462882,0.8921995351687134
경남,2020,3-1. 의료서비스 여건,0.945,-0.5200684239725571,-1.106597221462882
경남,2021,3-1. 의료서비스 여건,0.903,-0.4228350853259327,-0.5200684239725571
경남,2022,3-1. 의료서비스 여건,0.838,-0.3215758450215583,-0.4228350853259327
경남,2023,3-1. 의료서비스 여건,0.799,-0.3250331730462636,-0.3215758450215583
경남,2024,3-1. 의료서비스 여건,0.82,-0.1940623331077416,-0.3250331730462636
경남,2016,3-2. 산후조리 여건,1.358,,
경남,2017,3-2. 산후조리 여건,1.227,-0.7998084122223647,
경남,2018,3-2. 산후조리 여건,1.122,-0.5168567358820972,-0.7998084122223647
경남,2019,3-2. 산후조리 여건,1.046,-0.6417051095283076,-0.5168567358820972
경남,2020,3-2. 산후조리 여건,0.945,0.0407045416490925,-0.6417051095283076
경남,2021,3-2. 산후조리 여건,0.903,0.2122828278854864,0.0407045416490925
