지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,지역연도_전체계획예산_백만원,계획예산비중_pct,예산누락주의
전남,2019,1-2. 주거안정성,5334.0,11,0,1540331.0,0.3462892066705143,False
전남,2020,1-2. 주거안정성,3079.0,15,0,1840688.0,0.16727441043783628,False
전남,2021,1-2. 주거안정성,5417.0,19,0,1966392.4200000002,0.2754790928252256,False
전남,2022,1-2. 주거안정성,9082.0,23,0,2258897.4,0.40205455989280436,False
전남,2023,1-2. 주거안정성,6828.0,24,0,2712169.0,0.2517542232803339,False
전남,2024,1-2. 주거안정성,8448.0,18,0,2621833.0,0.32221731895204614,False
전남,2016,1-3. 경제적 여건,22531.0,28,1,1883686.0,1.1961123032182646,True
전남,2017,1-3. 경제적 여건,38008.0,32,1,1197280.0,3.1745289322464254,True
전남,2018,1-3. 경제적 여건,30641.0,29,1,1647546.0,1.8597963273863067,True
전남,2019,1-3. 경제적 여건,45435.0,47,0,1540331.0,2.9496906833661076,False
전남,2020,1-3. 경제적 여건,36117.0,46,0,1840688.0,1.9621467625148856,False
전남,2021,1-3. 경제적 여건,60084.5,56,0,1966392.4200000002,3.0555701592869235,False
전남,2022,1-3. 경제적 여건,75822.0,57,1,2258897.4,3.3565933539079733,True
전남,2023,1-3. 경제적 여건,57092.0,57,0,2712169.0,2.1050310655420073,False
전남,2024,1-3. 경제적 여건,51371.0,44,0,2621833.0,1.9593543906114539,False
전남,2016,2-1. 돌봄 여건,946694.0,81,3,1883686.0,50.25752699759939,True
전남,2017,2-1. 돌봄 여건,89551.0,72,0,1197280.0,7.479536950420954,False
전남,2018,2-1. 돌봄 여건,317129.0,68,0,1647546.0,19.248567263068832,False
전남,2019,2-1. 돌봄 여건,119384.0,98,0,1540331.0,7.750541928975006,False
전남,2020,2-1. 돌봄 여건,117428.0,87,0,1840688.0,6.379571116886728,False
전남,2021,2-1. 돌봄 여건,128578.68,92,0,1966392.4200000002,6.538810803593312,False
전남,2022,2-1. 돌봄 여건,368603.9,101,0,2258897.4,16.31786817763392,False
전남,2023,2-1. 돌봄 여건,536687.0,119,0,2712169.0,19.788110549158255,False
전남,2024,2-1. 돌봄 여건,402666.0,94,0,2621833.0,15.358186429112761,False
전남,2016,2-2. 여가 인프라,9600.0,10,0,1883686.0,0.5096390799740509,False
전남,2017,2-2. 여가 인프라,4072.0,10,0,1197280.0,0.34010423626887615,False
전남,2018,2-2. 여가 인프라,8287.0,15,0,1647546.0,0.502990508307507,False
