연도,지역,예산단계,포함회계,자치단체수,포함회계수,세출예산총계액_원,세출예산순계액_원,세출예산총계액_백만원,세출예산순계액_백만원,총계순계차액_백만원,원자료단위,출처
2019,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,16617524995000,12225713132000,16617524.995,12225713.132,4391811.863,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,11896586776000,8731174047000,11896586.776,8731174.047,3165412.7290000003,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,16181747002000,12186115761000,16181747.002,12186115.761,3995631.2410000004,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,68450930241000,50838024122000,68450930.241,50838024.122,17612906.118999995,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,25797997753000,18952472124000,25797997.753,18952472.124,6845525.628999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,26463090000000,19253998100000,26463090.0,19253998.1,7209091.8999999985,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,8277635079000,5992342346000,8277635.079,5992342.346,2285292.733,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,13807220878000,9916317896000,13807220.878,9916317.896,3890902.982000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,8064661159000,5698709818000,8064661.159,5698709.818,2365951.341,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,19069490134000,13774503587000,19069490.134,13774503.587,5294986.547,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,57038639890000,40235802629000,57038639.89,40235802.629,16802837.261,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1605095545000,1520953720000,1605095.545,1520953.72,84141.82499999995,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,6329132073000,4720368466000,6329132.073,4720368.466,1608763.6069999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,17413403637000,12535613166000,17413403.637,12535613.166,4877790.470999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,21529258068000,15974487009000,21529258.068,15974487.009,5554771.059,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,17943078088000,13008886514000,17943078.088,13008886.514,4934191.573999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,5822869117000,5647320940000,5822869.117,5647320.94,175548.1769999992,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,18089224298000,13362276827000,18089224.298,13362276.827,4726947.471000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2020,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,13136258088000,9608095076000,13136258.088,9608095.076,3528163.012,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,17771025175000,12917687435000,17771025.175,12917687.435,4853337.74,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,70739757911000,51454732035000,70739757.911,51454732.035,19285025.876000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,27840854647000,19977703680000,27840854.647,19977703.68,7863150.967,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,28255999060000,20110469353000,28255999.06,20110469.353,8145529.706999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,9105141221000,6576718245000,9105141.221,6576718.245,2528422.9760000007,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,14292089134000,10125520177000,14292089.134,10125520.177,4166568.9570000004,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,8557988811000,6015945285000,8557988.811,6015945.285,2542043.5260000005,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,20204508206000,14415991457000,20204508.206,14415991.457,5788516.749,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,58825841762000,40740257041000,58825841.762,40740257.041,18085584.721,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1817284784000,1665746650000,1817284.784,1665746.65,151538.13400000008,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,6624962937000,4865303731000,6624962.937,4865303.731,1759659.2060000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,18393677896000,13307454090000,18393677.896,13307454.09,5086223.806000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,23050548609000,16695307870000,23050548.609,16695307.87,6355240.739000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,20066756264000,13989774511000,20066756.264,13989774.511,6076981.752999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,5829867586000,5559803500000,5829867.586,5559803.5,270064.0860000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,20054981810000,14422887284000,20054981.81,14422887.284,5632094.525999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2021,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,14282328364000,10250433486000,14282328.364,10250433.486,4031894.8780000005,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,18954696506000,13816924422000,18954696.506,13816924.422,5137772.084000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,79127240123000,56853640643000,79127240.123,56853640.643,22273599.479999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,29990459758000,21459177621000,29990459.758,21459177.621,8531282.137000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,30399974906000,21998328107000,30399974.906,21998328.107,8401646.798999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,10327657564000,7351309295000,10327657.564,7351309.295,2976348.2689999994,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,15446262088000,10923797052000,15446262.088,10923797.052,4522465.036,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,9630421529000,6814220276000,9630421.529,6814220.276,2816201.2529999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,21881765237000,15653932673000,21881765.237,15653932.673,6227832.563999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,64781476910000,44918585220000,64781476.91,44918585.22,19862891.689999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1921327954000,1771604264000,1921327.954,1771604.264,149723.68999999994,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,7135800801000,5286892471000,7135800.801,5286892.471,1848908.33,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,20157525611000,14562995311000,20157525.611,14562995.311,5594530.300000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,25152552432000,18502101927000,25152552.432,18502101.927,6650450.504999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,21289354403000,15129740896000,21289354.403,15129740.896,6159613.507000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,6392244966000,6094351579000,6392244.966,6094351.579,297893.3870000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,21889680919000,15895999923000,21889680.919,15895999.923,5993680.995999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2022,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,15625146694000,11274717944000,15625146.694,11274717.944,4350428.75,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,20262898329000,14912819337000,20262898.329,14912819.337,5350078.992000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,81241363038000,58197529785000,81241363.038,58197529.785,23043833.253000006,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,32159977959000,23135534545000,32159977.959,23135534.545,9024443.413999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,33185478248000,24172297929000,33185478.248,24172297.929,9013180.318999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,10555220613000,7552199990000,10555220.613,7552199.99,3003020.6229999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,16467736030000,11628223160000,16467736.03,11628223.16,4839512.869999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,10043747094000,7046459578000,10043747.094,7046459.578,2997287.5160000008,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,23589078362000,16813047287000,23589078.362,16813047.287,6776031.074999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,69339637562000,47811752081000,69339637.562,47811752.081,21527885.481000006,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,2002807077000,1893247236000,2002807.077,1893247.236,109559.84100000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,7674733029000,5644715797000,7674733.029,5644715.797,2030017.2319999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,21446846389000,15533484476000,21446846.389,15533484.476,5913361.912999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,26558629969000,19545034459000,26558629.969,19545034.459,7013595.510000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,22652679618000,16148751730000,22652679.618,16148751.73,6503927.888,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,7063922036000,6701520126000,7063922.036,6701520.126,362401.91000000015,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,22975382093000,16624199177000,22975382.093,16624199.177,6351182.915999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2023,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,16720825573000,12050078674000,16720825.573,12050078.674,4670746.899,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,20331055375000,14634273729000,20331055.375,14634273.729,5696781.646,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,84968755868000,60548416965000,84968755.868,60548416.965,24420338.902999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,32311419178000,23125498568000,32311419.178,23125498.568,9185920.61,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,경북,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,34162071648000,24554048663000,34162071.648,24554048.663,9608022.985000003,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,10446365954000,7337396771000,10446365.954,7337396.771,3108969.183,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,대구,당초예산,일반회계+기타특별회계+공기업특별회계,10,3,16929169346000,11677339559000,16929169.346,11677339.559,5251829.7870000005,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,10193309919000,7070570075000,10193309.919,7070570.075,3122739.8439999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,24466262971000,17229915871000,24466262.971,17229915.871,7236347.1000000015,원,행정안전부 지방재정365 기능별 회계별 세출예산
2024,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,68735866398000,47888961761000,68735866.398,47888961.761,20846904.637000002,원,행정안전부 지방재정365 기능별 회계별 세출예산
