지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
전북,2019,2-2. 여가 인프라,1587.0,14,0,87.068452,2024,1822.7038192892187,-91.82274491384555,1818917,1002.0819087892512,0.10699999999999998,0.971,26.48425764059371,12134.981574269908,7125.730770231937
전북,2020,2-2. 여가 인프라,785.0,14,0,87.535014,2024,896.7840000573942,-50.79924721905154,1804104,497.0799909857715,0.07300000000000006,0.909,30.665999589593216,1002.0819087892512,12134.981574269908
전북,2021,2-2. 여가 인프라,1060.0,11,0,89.802171,2024,1180.372354249654,31.6228159929381,1786855,660.5865357008005,0.061999999999999944,0.85,33.35734739494906,497.0799909857715,1002.0819087892512
전북,2022,2-2. 여가 인프라,4889.6,18,0,94.590336,2024,5169.238430446003,337.93286176479586,1769607,2921.122277684256,0.05900000000000005,0.817,33.142073684062005,660.5865357008005,497.0799909857715
전북,2023,2-2. 여가 인프라,2000.0,15,0,97.706583,2024,2046.9449842494237,-60.40142060011705,1754757,1166.511935412951,0.03300000000000003,0.78,42.62495348351989,2921.122277684256,660.5865357008005
전북,2024,2-2. 여가 인프라,3331.0,17,0,100.0,2024,3331.0,62.73031398649999,1738690,1915.8101789278137,0.03699999999999992,0.808,50.299212793873394,1166.511935412951,2921.122277684256
전북,2016,2-3. 가사수행 격차,0.0,0,0,83.786765,2024,0.0,,1864791,0.0,,1.251,,,
전북,2017,2-3. 가사수행 격차,5.0,1,0,85.339636,2024,5.858942262186354,inf,1854607,3.1591287330341977,,1.151,24.766134248892875,0.0,
전북,2018,2-3. 가사수행 격차,15.0,1,0,86.797969,2024,17.28151035423421,194.95956063211568,1836832,9.408323871880611,0.09999999999999987,1.044,24.766134248892875,3.1591287330341977,0.0
전북,2019,2-3. 가사수행 격차,20.0,1,0,87.068452,2024,22.970432505220145,32.91912590031269,1818917,12.628631490727804,0.10699999999999998,0.971,24.766134248892875,9.408323871880611,3.1591287330341977
전북,2020,2-3. 가사수행 격차,40.0,2,0,87.535014,2024,45.69600000292454,98.93399914233176,1804104,25.328916738128477,0.07300000000000006,0.909,24.766134248892875,12.628631490727804,9.408323871880611
전북,2021,2-3. 가사수행 격차,30.0,2,0,89.802171,2024,33.40676474291473,-26.893459513356312,1786855,18.695845350022655,0.061999999999999944,0.85,24.766134248892875,25.328916738128477,12.628631490727804
전북,2022,2-3. 가사수행 격차,30.0,2,0,94.590336,2024,31.715713537585913,-5.062002317023162,1769607,17.922461618645222,0.05900000000000005,0.817,41.83941218423977,18.695845350022655,25.328916738128477
전북,2023,2-3. 가사수행 격차,20.0,1,0,97.706583,2024,20.469449842494235,-35.459595388777444,1754757,11.665119354129509,0.03300000000000003,0.78,58.91269011958668,17.922461618645222,18.695845350022655
전북,2024,2-3. 가사수행 격차,19.0,1,0,100.0,2024,19.0,-7.178746149999993,1738690,10.927767457108512,0.03699999999999992,0.808,75.98596805493356,11.665119354129509,17.922461618645222
전북,2016,3-1. 의료서비스 여건,30823.0,27,0,83.786765,2024,36787.43295555092,,1864791,19727.37585903778,,1.251,,,
전북,2017,3-1. 의료서비스 여건,32703.0,27,0,85.339636,2024,38320.99776005607,4.168719264424103,1854607,20662.59739128347,,1.151,44.36252484008675,19727.37585903778,
