region,year,pooled_index,missing_indicator_count,indicator_count,has_missing_indicators,pooled_rank,yearly_index,yearly_rank,score_diff_yearly_minus_pooled,abs_score_diff,rank_diff_yearly_minus_pooled,abs_rank_diff
제주,2020,51.307655973082234,0,28,False,6,58.119507748988696,3,6.811851775906462,6.811851775906462,-3,3
제주,2021,52.51357321561875,0,28,False,9,58.30721604736453,3,5.793642831745778,5.793642831745778,-6,6
제주,2022,55.68700501619327,0,28,False,8,56.36551313160832,5,0.6785081154150561,0.6785081154150561,-3,3
제주,2023,60.4746631335636,0,28,False,9,52.916469924319586,7,-7.558193209244017,7.558193209244017,-2,2
제주,2024,61.99640429411046,0,28,False,9,53.59864236496217,7,-8.397761929148295,8.397761929148295,-2,2
충남,2016,37.84790985929591,0,28,False,8,46.07083148016256,10,8.22292162086665,8.22292162086665,2,2
충남,2017,41.342213899463445,0,28,False,8,47.386420904353,10,6.044207004889557,6.044207004889557,2,2
충남,2018,44.81126983234077,0,28,False,7,49.921517511026195,8,5.110247678685425,5.110247678685425,1,1
충남,2019,45.945437370128786,0,28,False,8,49.79585322322622,9,3.850415853097431,3.850415853097431,1,1
충남,2020,50.63070161882059,0,28,False,7,52.42408928791595,8,1.7933876690953596,1.7933876690953596,1,1
충남,2021,52.75878360939667,0,28,False,8,52.89926108323577,9,0.1404774738390983,0.1404774738390983,1,1
충남,2022,56.243752171682445,0,28,False,7,52.03436245059414,9,-4.209389721088307,4.209389721088307,2,2
충남,2023,61.222572196850265,0,28,False,7,50.93335620382775,9,-10.289215993022516,10.289215993022516,2,2
충남,2024,63.8658523725628,0,28,False,7,54.43989344033544,6,-9.42595893222736,9.42595893222736,-1,1
충북,2016,38.71135010525865,0,28,False,6,48.61691352988323,6,9.905563424624576,9.905563424624576,0,0
충북,2017,41.69927284168384,0,28,False,6,49.36587267485075,9,7.666599833166913,7.666599833166913,3,3
충북,2018,45.3454492003527,0,28,False,5,51.41423589497041,6,6.068786694617714,6.068786694617714,1,1
충북,2019,46.302195123828675,0,28,False,7,51.26354553337,6,4.961350409541325,4.961350409541325,-1,1
충북,2020,48.59986998044957,0,28,False,9,49.33427994068959,9,0.734409960240022,0.734409960240022,0,0
충북,2021,52.76195898953669,0,28,False,7,53.688044742497446,8,0.9260857529607592,0.9260857529607592,1,1
충북,2022,57.08025090606672,0,28,False,6,53.30518428064063,8,-3.775066625426085,3.775066625426085,2,2
충북,2023,63.07133269865453,0,28,False,5,53.82943863442817,6,-9.241894064226358,9.241894064226358,1,1
충북,2024,63.9927665199944,0,28,False,6,53.47879987745326,8,-10.513966642541137,10.513966642541137,2,2
