지역,대분류,중분류,원본_소계값,leaf_합계,결과,차이
전남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),317784.0,317784.0,일치,0.0
전남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),62627.0,62627.0,일치,0.0
경북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1324882.0,1324882.0,일치,0.0
경북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",2195785.0,2195785.0,일치,0.0
경북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),2378.0,2378.0,일치,0.0
경북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),40.0,40.0,일치,0.0
경북,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),306567.0,306567.0,일치,0.0
경북,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),97136.0,97136.0,일치,0.0
경북,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),98535.0,98535.0,일치,0.0
경북,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),37383.0,37383.0,일치,0.0
경남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1370527.0,1370527.0,일치,0.0
경남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",2106578.0,2106578.0,일치,0.0
경남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),74205.0,74205.0,일치,0.0
경남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),397.0,397.0,일치,0.0
경남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),334832.0,334832.0,일치,0.0
경남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",42299.0,42299.0,일치,0.0
경남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),68802.0,68802.0,일치,0.0
경남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),43501.0,43501.0,일치,0.0
제주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),366202.0,366202.0,일치,0.0
제주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",366541.0,366541.0,일치,0.0
제주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),29915.0,29915.0,일치,0.0
제주,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),15491.0,15491.0,일치,0.0
제주,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는 사회(자체)",72644.0,72644.0,일치,0.0
제주,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",80536.0,80536.0,일치,0.0
제주,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),115396.0,115396.0,일치,0.0
제주,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),523.0,523.0,일치,0.0
