지역,지표_id,연도,원본파일,원본행번호,입력값,최종값,절대차,허용오차,결과
세종,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,81,0.5039386786197385,0.5039386786197385,0.0,1e-12,PASS
세종,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,81,0.5106991471324243,0.5106991471324243,0.0,1e-12,PASS
세종,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,81,0.5398735153478328,0.5398735153478328,0.0,1e-12,PASS
세종,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,81,0.5769886438144195,0.5769886438144195,0.0,1e-12,PASS
울산,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,80,0.7000394567693815,0.7000394567693815,0.0,1e-12,PASS
울산,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,80,0.6836654597017192,0.6836654597017192,0.0,1e-12,PASS
울산,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,80,0.7079514121767643,0.7079514121767643,0.0,1e-12,PASS
울산,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,80,0.7681252787551415,0.7681252787551415,0.0,1e-12,PASS
울산,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,80,0.9176733837006122,0.9176733837006122,0.0,1e-12,PASS
울산,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,80,1.01525419426889,1.01525419426889,0.0,1e-12,PASS
울산,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,80,1.0395010395010396,1.0395010395010396,0.0,1e-12,PASS
울산,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,80,1.1302439997340603,1.1302439997340603,0.0,1e-12,PASS
울산,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,80,1.2188288035864387,1.2188288035864387,0.0,1e-12,PASS
인천,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,77,0.9703641251610644,0.9703641251610644,0.0,1e-12,PASS
인천,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,77,0.962148445760203,0.962148445760203,0.0,1e-12,PASS
인천,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,77,0.9335607257782716,0.9335607257782716,0.0,1e-12,PASS
인천,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,77,0.9414866073530104,0.9414866073530104,0.0,1e-12,PASS
인천,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,77,1.0344698208169631,1.0344698208169631,0.0,1e-12,PASS
인천,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,77,1.1066760501334996,1.1066760501334996,0.0,1e-12,PASS
인천,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,77,1.1065809335030807,1.1065809335030807,0.0,1e-12,PASS
인천,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,77,1.1509308838601129,1.1509308838601129,0.0,1e-12,PASS
인천,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,77,1.257518080378735,1.257518080378735,0.0,1e-12,PASS
전국,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,73,1.2649603818227628,1.2649603818227628,0.0,1e-12,PASS
전국,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,73,1.2892511417520705,1.2892511417520705,0.0,1e-12,PASS
전국,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,73,1.280195723395365,1.280195723395365,0.0,1e-12,PASS
전국,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,73,1.3323742666630247,1.3323742666630247,0.0,1e-12,PASS
전국,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,73,1.4468528481520528,1.4468528481520528,0.0,1e-12,PASS
전국,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,73,1.551230723882797,1.551230723882797,0.0,1e-12,PASS
전국,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,73,1.613705241996066,1.613705241996066,0.0,1e-12,PASS
전국,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,73,1.717344266028926,1.717344266028926,0.0,1e-12,PASS
전국,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,73,1.8487950944348572,1.8487950944348568,4.440892098500626e-16,1e-12,PASS
전남,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,87,3.423680456490728,3.423680456490728,0.0,1e-12,PASS
전남,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,87,3.380970222483898,3.380970222483898,0.0,1e-12,PASS
전남,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,87,3.3525368999620637,3.352536899962064,4.440892098500626e-16,1e-12,PASS
전남,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,87,3.421910923381276,3.421910923381276,0.0,1e-12,PASS
전남,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,87,3.698495032144945,3.698495032144945,0.0,1e-12,PASS
전남,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,87,3.835737986745908,3.835737986745908,0.0,1e-12,PASS
전남,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,87,3.898268377887214,3.898268377887214,0.0,1e-12,PASS
전남,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,87,4.064238645779899,4.064238645779899,0.0,1e-12,PASS
전남,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,87,4.41508048870012,4.41508048870012,0.0,1e-12,PASS
전북,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,86,2.431579931813737,2.431579931813737,0.0,1e-12,PASS
전북,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,86,2.442159383033419,2.442159383033419,0.0,1e-12,PASS
전북,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,86,2.450896376786755,2.450896376786755,0.0,1e-12,PASS
전북,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,86,2.5760453800317453,2.5760453800317453,0.0,1e-12,PASS
전북,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,86,2.802745619594227,2.802745619594227,0.0,1e-12,PASS
전북,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,86,3.041672737869736,3.041672737869736,0.0,1e-12,PASS
전북,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,86,3.242919002005736,3.242919002005736,0.0,1e-12,PASS
전북,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,86,3.342931524140107,3.342931524140107,0.0,1e-12,PASS
전북,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,86,3.5757480149340064,3.5757480149340064,0.0,1e-12,PASS
제주,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,90,1.4067695455708076,1.4067695455708076,0.0,1e-12,PASS
